supporter_id,supporter_type,display_name,organization_name,first_name,last_name,relationship_type,region,country,email,phone,status,created_at,first_donation_date,acquisition_channel,total_donations,total_lifetime_value,avg_gift_size,last_donation_date,first_donation_date_actual,is_recurring_donor,num_campaigns,dominant_channel,days_since_last_donation,donation_frequency,is_churned,total_social_referral_value,referral_donations_count
1,SocialMediaAdvocate,Mila Alvarez,,Mila,Alvarez,Local,Luzon,Philippines,mila-alvarez@smart.com.ph,+63 997 578 1887,Active,2022-01-01,2023-07-02,SocialMedia,12.0,9000.029999999999,750.0024999999999,2026-02-19,2023-03-25,1,2.0,Event,47.0,0.33898305084745767,0,142759.53,55.0
2,Volunteer,Aria Brown,,Aria,Brown,Local,Mindanao,Philippines,aria-brown@pldt.net.ph,+63 927 354 4139,Active,2022-01-06,2023-09-25,SocialMedia,4.0,3877.36,969.34,2025-05-08,2023-03-08,0,0.0,Campaign,334.0,0.15151515151515152,1,76132.85,43.0
3,MonetaryDonor,Noah Chen,,Noah,Chen,Local,Luzon,Philippines,noah-chen@globe.com.ph,+63 917 553 2604,Active,2022-01-11,2023-06-25,SocialMedia,16.0,12448.13,778.008125,2025-09-13,2023-02-22,1,3.0,Campaign,206.0,0.5139186295503212,1,142469.81,92.0
4,MonetaryDonor,Liam Diaz,,Liam,Diaz,PartnerOrganization,Mindanao,Philippines,liam-diaz@globe.com.ph,+63 945 516 8956,Active,2022-01-16,2026-03-01,Church,11.0,9934.619999999999,903.1472727272726,2026-03-01,2023-03-15,1,3.0,Direct,37.0,0.3049907578558225,0,1112784.75,270.0
5,InKindDonor,Emma Evans,,Emma,Evans,PartnerOrganization,Mindanao,Philippines,emma-evans@yahoo.com.ph,+63 995 371 8454,Active,2022-01-21,2024-01-18,Website,5.0,4751.17,950.234,2025-10-02,2023-12-20,0,1.0,Campaign,187.0,0.2300613496932515,1,12319.53,4.0
6,MonetaryDonor,Olivia Ford,,Olivia,Ford,International,Visayas,USA,olivia-ford@yahoo.com,+1 (206) 358-4111,Active,2022-01-26,2023-03-22,WordOfMouth,9.0,9574.27,1063.8077777777778,2025-11-23,2023-03-22,0,2.0,Campaign,135.0,0.27635619242579323,0,495547.63,114.0
7,MonetaryDonor,Ethan Garcia,,Ethan,Garcia,International,Mindanao,USA,ethan-garcia@aol.com,+1 (212) 251-8811,Active,2022-01-31,2023-10-19,Event,11.0,6003.96,545.8145454545455,2025-12-28,2023-01-27,1,2.0,Event,100.0,0.30956848030018763,0,290634.39,161.0
8,InKindDonor,Isla Hernandez,,Isla,Hernandez,Local,Mindanao,Philippines,isla-hernandez@yahoo.com.ph,+63 953 170 2113,Active,2022-02-05,2023-11-06,Church,13.0,9064.84,697.2953846153846,2025-12-22,2023-03-22,1,2.0,Campaign,106.0,0.38767395626242546,0,122624.1,39.0
9,Volunteer,Sophia Ibrahim,,Sophia,Ibrahim,Local,Luzon,Philippines,sophia-ibrahim@globe.com.ph,+63 949 708 1651,Active,2022-02-10,2024-11-04,PartnerReferral,9.0,10315.75,1146.1944444444443,2026-02-03,2023-03-18,0,2.0,SocialMedia,63.0,0.2564102564102564,0,505899.66,112.0
10,Volunteer,Lucas Jones,,Lucas,Jones,International,Luzon,Singapore,lucas-jones@gmail.com,+65 8785 6147,Active,2022-02-15,2024-10-18,Event,6.0,3458.54,576.4233333333333,2025-11-09,2023-08-22,0,1.0,Event,149.0,0.2222222222222222,0,121665.48,56.0
11,MonetaryDonor,Maya Kim,,Maya,Kim,International,Luzon,USA,maya-kim@gmail.com,+1 (469) 274-1152,Active,2022-02-20,2024-08-20,SocialMedia,4.0,4395.62,1098.905,2025-12-16,2023-03-18,0,0.0,SocialMedia,112.0,0.1195219123505976,0,436589.9,109.0
12,InKindDonor,Ella Lopez,,Ella,Lopez,PartnerOrganization,Mindanao,Philippines,ella-lopez@globe.com.ph,+63 929 371 3170,Active,2022-02-25,2023-02-24,Website,7.0,5002.38,714.6257142857143,2025-10-13,2023-02-24,0,1.0,Campaign,176.0,0.21829521829521828,0,55743.490000000005,26.0
13,PartnerOrganization,Hope Group,Hope Group,,,Local,Luzon,Philippines,hope-group@hopegroup.ph,+63 976 726 9666,Active,2022-03-02,2023-02-10,PartnerReferral,7.0,3256.82,465.26000000000005,2026-01-01,2023-02-10,0,1.0,Campaign,96.0,0.19886363636363635,0,13763.63,8.0
14,MonetaryDonor,Owen Nguyen,,Owen,Nguyen,Local,Mindanao,Philippines,owen-nguyen@globe.com.ph,+63 966 218 2753,Active,2022-03-07,2023-12-25,WordOfMouth,1.0,27.12,27.12,2023-12-25,2023-12-25,0,1.0,PartnerReferral,834.0,30.0,1,0.0,0.0
15,SkillsContributor,Zoe Ortiz,,Zoe,Ortiz,Local,Luzon,Philippines,zoe-ortiz@pldt.net.ph,+63 955 803 5325,Active,2022-03-12,2024-09-15,Website,2.0,925.66,462.83,2024-09-15,2024-06-16,0,1.0,Campaign,569.0,0.6593406593406593,1,0.0,0.0
16,InKindDonor,Iris Patel,,Iris,Patel,PartnerOrganization,Luzon,Philippines,iris-patel@smart.com.ph,+63 967 145 1058,Active,2022-03-17,2025-07-15,Website,5.0,2668.23,533.646,2025-11-03,2023-09-18,0,2.0,Campaign,155.0,0.19305019305019305,0,808353.61,203.0
17,MonetaryDonor,Hana Quinn,,Hana,Quinn,PartnerOrganization,Luzon,Philippines,hana-quinn@smart.com.ph,+63 947 822 8007,Active,2022-03-22,2024-12-29,Website,4.0,1406.67,351.6675,2025-03-15,2023-05-23,0,2.0,Direct,388.0,0.18126888217522658,1,0.0,0.0
18,InKindDonor,Theo Reed,,Theo,Reed,PartnerOrganization,Luzon,Philippines,theo-reed@globe.com.ph,+63 946 136 7049,Active,2022-03-27,2024-10-09,WordOfMouth,5.0,3419.5799999999995,683.9159999999999,2026-01-20,2023-05-08,0,2.0,Campaign,77.0,0.15182186234817815,0,110254.23,86.0
19,Volunteer,Nora Singh,,Nora,Singh,Local,Luzon,Philippines,nora-singh@yahoo.com.ph,+63 979 315 5088,Active,2022-04-01,2024-12-02,SocialMedia,8.0,3765.27,470.65875,2025-11-12,2023-01-13,0,2.0,Campaign,146.0,0.23210831721470018,0,0.0,0.0
20,Volunteer,Ezra Taylor,,Ezra,Taylor,International,Luzon,Canada,ezra-taylor@gmail.com,+1 (347) 358-4878,Active,2022-04-06,2023-03-23,PartnerReferral,17.0,14240.29,837.6641176470589,2025-05-11,2023-02-03,1,4.0,Campaign,331.0,0.6159420289855072,1,98204.86,60.0
21,SocialMediaAdvocate,June Usman,,June,Usman,PartnerOrganization,Mindanao,Philippines,june-usman@yahoo.com.ph,+63 953 854 6442,Active,2022-04-11,2023-07-25,PartnerReferral,7.0,2955.69,422.24142857142857,2025-12-30,2023-06-13,0,3.0,Campaign,98.0,0.22556390977443608,0,1883.31,2.0
22,SkillsContributor,Nico Vasquez,,Nico,Vasquez,International,Luzon,USA,nico-vasquez@gmail.com,+1 (415) 918-2771,Active,2022-04-16,2025-11-13,WordOfMouth,5.0,4326.73,865.3459999999999,2026-02-11,2025-01-08,0,0.0,Campaign,55.0,0.37593984962406013,0,76456.09,24.0
23,MonetaryDonor,Ria White,,Ria,White,Local,Luzon,Philippines,ria-white@smart.com.ph,+63 979 412 4728,Active,2022-04-21,2024-11-21,Website,3.0,636.53,212.17666666666665,2025-03-26,2023-12-15,0,2.0,Direct,377.0,0.19271948608137046,1,249795.92,51.0
24,MonetaryDonor,Sean Xu,,Sean,Xu,Local,Visayas,Philippines,sean-xu@yahoo.com.ph,+63 967 459 9346,Active,2022-04-26,2023-11-08,SocialMedia,9.0,4168.88,463.2088888888889,2025-10-14,2023-07-02,1,1.0,Event,175.0,0.32335329341317365,0,9808.48,4.0
25,MonetaryDonor,Tina Young,,Tina,Young,Local,Mindanao,Philippines,tina-young@yahoo.com.ph,+63 966 282 5349,Active,2022-05-01,2025-12-02,Church,17.0,11540.99,678.8817647058823,2026-02-14,2023-06-02,1,3.0,Direct,52.0,0.5161943319838057,0,26793.54,6.0
26,MonetaryDonor,Margo Zhang,,Margo,Zhang,Local,Visayas,Philippines,margo-zhang@smart.com.ph,+63 951 623 2894,Active,2022-05-06,2024-11-20,WordOfMouth,12.0,7109.62,592.4683333333334,2026-02-24,2023-08-11,1,3.0,Campaign,42.0,0.3879310344827586,0,550441.3500000001,146.0
27,MonetaryDonor,Jules Abe,,Jules,Abe,Local,Visayas,Philippines,jules-abe@yahoo.com.ph,+63 939 925 9821,Active,2022-05-11,2024-08-03,WordOfMouth,6.0,4653.04,775.5066666666667,2026-02-18,2023-01-16,0,1.0,Campaign,48.0,0.15943312666076173,0,166078.86,104.0
28,Volunteer,Pia Baker,,Pia,Baker,International,Mindanao,USA,pia-baker@gmail.com,+1 (718) 538-6143,Active,2022-05-16,,Website,0.0,0.0,0.0,,,0,0.0,Unknown,0.0,0.0,1,0.0,0.0
29,Volunteer,Seth Clark,,Seth,Clark,PartnerOrganization,Luzon,Philippines,seth-clark@smart.com.ph,+63 977 512 5844,Active,2022-05-21,2025-09-28,Event,6.0,4837.3099999999995,806.2183333333332,2025-10-08,2023-03-04,0,2.0,Event,181.0,0.18967334035827188,1,26733.260000000002,8.0
30,InKindDonor,Rina Davis,,Rina,Davis,International,Luzon,USA,rina-davis@gmail.com,+1 (415) 830-5930,Active,2022-05-26,2025-07-29,SocialMedia,2.0,4713.84,2356.92,2025-07-29,2024-11-13,0,1.0,Campaign,252.0,0.23255813953488372,1,40628.07,9.0
31,MonetaryDonor,Jon Edwards,,Jon,Edwards,Local,Mindanao,Philippines,jon-edwards@eastern.com.ph,+63 951 770 6279,Active,2022-05-31,2023-12-26,Website,20.0,10003.36,500.168,2026-02-11,2023-03-01,1,3.0,Event,55.0,0.5565862708719852,0,331385.44,88.0
32,InKindDonor,Luz Fisher,,Luz,Fisher,Local,Luzon,Philippines,luz-fisher@globe.com.ph,+63 991 186 5649,Active,2022-06-05,2023-02-02,Event,8.0,5685.9,710.7375,2026-01-18,2023-01-22,0,2.0,Event,79.0,0.21978021978021978,0,0.0,0.0
33,InKindDonor,Tara Green,,Tara,Green,Local,Visayas,Philippines,tara-green@globe.com.ph,+63 992 417 4680,Active,2022-06-10,2023-09-11,PartnerReferral,7.0,3794.98,542.14,2025-04-01,2023-07-25,0,2.0,Direct,371.0,0.3409090909090909,1,575072.07,96.0
34,SocialMediaAdvocate,Mia Hill,,Mia,Hill,Local,Luzon,Philippines,mia-hill@eastern.com.ph,+63 917 566 7790,Active,2022-06-15,2025-05-07,Church,7.0,2428.81,346.97285714285715,2025-05-07,2023-10-31,1,1.0,Campaign,335.0,0.3790613718411553,1,0.0,0.0
35,SocialMediaAdvocate,Jose Inoue,,Jose,Inoue,International,Visayas,USA,jose-inoue@gmail.com,+1 (415) 871-1090,Active,2022-06-20,2024-03-27,SocialMedia,10.0,8547.74,854.774,2025-12-21,2023-06-12,0,2.0,Direct,107.0,0.3250270855904659,0,52737.990000000005,44.0
36,SocialMediaAdvocate,Lara Johnson,,Lara,Johnson,PartnerOrganization,Mindanao,Philippines,lara-johnson@globe.com.ph,+63 953 923 9486,Active,2022-06-25,2023-04-16,WordOfMouth,6.0,4060.64,676.7733333333333,2024-06-15,2023-01-15,0,2.0,Campaign,661.0,0.3481624758220503,1,0.0,0.0
37,InKindDonor,Rae Klein,,Rae,Klein,PartnerOrganization,Visayas,Philippines,rae-klein@globe.com.ph,+63 920 783 9702,Active,2022-06-30,2024-02-06,Website,5.0,1992.44,398.488,2025-01-12,2023-02-02,0,2.0,Campaign,450.0,0.2112676056338028,1,0.0,0.0
